customer_id,bill_period_end,bill_amount,usage_m3,due_date
C100002,2024-08-31,49.11,,2024-09-14
C100002,2024-09-30,50.19,,2024-10-14
C100002,2024-10-31,50.54,,2024-11-14
C100002,2024-11-30,49.57,,2024-12-14
C100002,2024-12-31,50.45,,2025-01-14
C100002,2025-01-31,50.11,,2025-02-14
C100002,2025-02-28,50.66,,2025-03-14
C100002,2025-03-31,50.01,,2025-04-14
C100002,2025-04-30,50.26,,2025-05-14
C100002,2025-05-31,49.11,,2025-06-14
C100002,2025-06-30,49.39,,2025-07-14
C100002,2025-07-31,50.15,,2025-08-14
C100002,2025-08-31,50.34,,2025-09-14
C100002,2025-09-30,51.07,,2025-10-14
C100002,2025-10-31,49.29,,2025-11-14
C100002,2025-11-30,50.84,,2025-12-14
C100002,2025-12-31,50.12,,2026-01-14
C100003,2022-01-31,44.69,14.29,2022-02-14
C100003,2022-02-28,42.77,13.38,2022-03-14
C100003,2022-03-31,38.47,10.91,2022-04-14
C100003,2022-04-30,44.87,13.58,2022-05-14
C100003,2022-05-31,36.86,9.86,2022-06-14
C100003,2022-06-30,37.59,10.81,2022-07-14
C100003,2022-07-31,35.71,9.4,2022-08-14
C100003,2022-08-31,38.56,11.31,2022-09-14
C100003,2022-09-30,35.95,9.66,2022-10-14
C100003,2022-10-31,46.9,15.12,2022-11-14
C100003,2022-11-30,51.75,16.69,2022-12-14
C100003,2022-12-31,44.94,14.1,2023-01-14
C100003,2023-01-31,49.55,16.04,2023-02-14
C100003,2023-02-28,31.4,7.65,2023-03-14
C100003,2023-03-31,31.39,7.74,2023-04-14
C100003,2023-04-30,35.93,10.2,2023-05-14
C100003,2023-05-31,38.13,10.66,2023-06-14
C100003,2023-06-30,36.03,9.78,2023-07-14
C100003,2023-07-31,28.6,6.34,2023-08-14
C100003,2023-08-31,43.83,12.92,2023-09-14
C100003,2023-09-30,48.32,15.73,2023-10-14
C100003,2023-10-31,46.27,14.2,2023-11-14
C100003,2023-11-30,45.52,14.26,2023-12-14
C100003,2023-12-31,41.03,12.37,2024-01-14
C100003,2024-01-31,35.95,9.6,2024-02-14
C100003,2024-02-29,40.81,11.96,2024-03-14
C100003,2024-03-31,53.08,16.91,2024-04-14
C100003,2024-04-30,36.09,10.12,2024-05-14
C100003,2024-05-31,34.51,9.47,2024-06-14
C100003,2024-06-30,42.69,12.81,2024-07-14
C100003,2024-07-31,43.44,12.82,2024-08-14
C100003,2024-08-31,32.55,8.27,2024-09-14
C100003,2024-09-30,36.07,9.93,2024-10-14
C100003,2024-10-31,36.14,9.75,2024-11-14
C100003,2024-11-30,40.09,11.62,2024-12-14
C100003,2024-12-31,47.32,14.71,2025-01-14
C100003,2025-01-31,36.29,9.71,2025-02-14
C100003,2025-02-28,48.2,14.67,2025-03-14
C100003,2025-03-31,39.58,11.7,2025-04-14
C100003,2025-04-30,51.97,16.82,2025-05-14
C100003,2025-05-31,39.61,11.33,2025-06-14
C100003,2025-06-30,35.82,10.01,2025-07-14
C100003,2025-07-31,40.71,11.44,2025-08-14
C100003,2025-08-31,35.76,9.45,2025-09-14
C100003,2025-09-30,27.53,6.25,2025-10-14
C100003,2025-10-31,38.36,10.4,2025-11-14
C100003,2025-11-30,37.48,10.77,2025-12-14
C100003,2025-12-31,30.36,7.51,2026-01-14
C100004,2022-01-31,39.86,12.27,2022-02-14
C100004,2022-02-28,27.78,6.55,2022-03-14
C100004,2022-03-31,37.42,11.06,2022-04-14
C100004,2022-04-30,41.94,12.19,2022-05-14
C100004,2022-05-31,39.82,11.33,2022-06-14
C100004,2022-06-30,35.88,9.75,2022-07-14
C100004,2022-07-31,36.73,10.42,2022-08-14
C100004,2022-08-31,33.98,8.83,2022-09-14
C100004,2022-09-30,38.48,11.12,2022-10-14
C100004,2022-10-31,40.9,11.7,2022-11-14
C100004,2022-11-30,34.08,9.55,2022-12-14
C100004,2022-12-31,41.62,13.1,2023-01-14
C100004,2023-01-31,42.84,13.22,2023-02-14
C100004,2023-02-28,41.02,11.88,2023-03-14
C100004,2023-03-31,55.66,18.62,2023-04-14
C100004,2023-04-30,38.24,11.18,2023-05-14
C100004,2023-05-31,36.0,10.38,2023-06-14
C100004,2023-06-30,35.57,9.72,2023-07-14
C100004,2023-07-31,32.38,8.28,2023-08-14
C100004,2023-08-31,40.24,12.43,2023-09-14
C100004,2023-09-30,35.32,9.36,2023-10-14
C100004,2023-10-31,36.74,10.06,2023-11-14
C100004,2023-11-30,37.23,10.54,2023-12-14
C100004,2023-12-31,34.46,9.59,2024-01-14
C100004,2024-01-31,30.62,7.51,2024-02-14
C100004,2024-02-29,38.66,11.05,2024-03-14
C100004,2024-03-31,46.88,14.4,2024-04-14
C100004,2024-04-30,39.97,12.07,2024-05-14
C100004,2024-05-31,47.92,15.02,2024-06-14
C100004,2024-06-30,41.75,12.58,2024-07-14
C100004,2024-07-31,39.14,11.89,2024-08-14
C100004,2024-08-31,48.71,15.35,2024-09-14
C100004,2024-09-30,38.08,10.84,2024-10-14
C100004,2024-10-31,38.76,11.72,2024-11-14
C100004,2024-11-30,40.86,11.98,2024-12-14
C100004,2024-12-31,50.96,16.68,2025-01-14
C100004,2025-01-31,41.27,12.48,2025-02-14
C100004,2025-02-28,36.31,10.53,2025-03-14
C100004,2025-03-31,45.06,13.62,2025-04-14
C100004,2025-04-30,35.65,9.41,2025-05-14
C100004,2025-05-31,42.49,12.43,2025-06-14
C100004,2025-06-30,40.25,11.76,2025-07-14
C100004,2025-07-31,35.47,10.17,2025-08-14
C100004,2025-08-31,41.08,12.13,2025-09-14
C100004,2025-09-30,30.79,7.34,2025-10-14
C100004,2025-10-31,41.61,11.98,2025-11-14
C100004,2025-11-30,37.84,10.75,2025-12-14
C100004,2025-12-31,58.43,20.38,2026-01-14
C100005,2022-01-31,41.97,12.3,2022-02-14
C100005,2022-02-28,37.39,10.17,2022-03-14
C100005,2022-03-31,32.57,7.86,2022-04-14
C100005,2022-04-30,47.81,14.26,2022-05-14
C100005,2022-05-31,35.6,9.72,2022-06-14
C100005,2022-06-30,32.68,8.4,2022-07-14
C100005,2022-07-31,39.65,10.89,2022-08-14
C100005,2022-08-31,40.74,11.75,2022-09-14
C100005,2022-09-30,41.03,12.08,2022-10-14
C100005,2022-10-31,38.34,11.05,2022-11-14
C100005,2022-11-30,40.28,11.85,2022-12-14
C100005,2022-12-31,41.85,12.38,2023-01-14
C100005,2023-01-31,41.99,12.79,2023-02-14
C100005,2023-02-28,44.69,12.9,2023-03-14
C100005,2023-03-31,46.77,14.29,2023-04-14
C100005,2023-04-30,40.21,11.14,2023-05-14
C100005,2023-05-31,33.52,8.6,2023-06-14
C100005,2023-06-30,37.61,9.9,2023-07-14
C100005,2023-07-31,40.87,11.85,2023-08-14
C100005,2023-08-31,27.71,6.08,2023-09-14
C100005,2023-09-30,28.75,6.29,2023-10-14
C100005,2023-10-31,44.54,13.3,2023-11-14
C100005,2023-11-30,48.58,15.39,2023-12-14
C100005,2023-12-31,32.15,8.38,2024-01-14
C100005,2024-01-31,40.8,12.15,2024-02-14
C100005,2024-02-29,37.86,10.69,2024-03-14
C100005,2024-03-31,37.66,10.76,2024-04-14
C100005,2024-04-30,40.9,11.76,2024-05-14
C100005,2024-05-31,30.74,7.46,2024-06-14
C100005,2024-06-30,31.87,7.66,2024-07-14
C100005,2024-07-31,35.48,9.43,2024-08-14
C100005,2024-08-31,35.97,9.9,2024-09-14
C100005,2024-09-30,31.83,7.86,2024-10-14
C100005,2024-10-31,44.22,12.97,2024-11-14
C100005,2024-11-30,37.68,10.35,2024-12-14
C100005,2024-12-31,38.1,10.63,2025-01-14
C100005,2025-01-31,42.5,12.64,2025-02-14
C100005,2025-02-28,40.54,11.42,2025-03-14
C100005,2025-03-31,45.69,13.62,2025-04-14
C100005,2025-04-30,34.06,8.67,2025-05-14
C100005,2025-05-31,30.59,7.21,2025-06-14
C100005,2025-06-30,35.44,9.52,2025-07-14
C100005,2025-07-31,37.98,10.26,2025-08-14
C100005,2025-08-31,31.48,7.35,2025-09-14
C100005,2025-09-30,29.83,7.23,2025-10-14
C100005,2025-10-31,41.19,11.46,2025-11-14
C100005,2025-11-30,35.06,9.47,2025-12-14
C100005,2025-12-31,31.29,7.88,2026-01-14
C100006,2022-01-31,48.71,15.21,2022-02-14
C100006,2022-02-28,37.66,10.58,2022-03-14
C100006,2022-03-31,49.47,15.15,2022-04-14
C100006,2022-04-30,39.94,11.62,2022-05-14
C100006,2022-05-31,40.99,11.83,2022-06-14
C100006,2022-06-30,36.24,10.23,2022-07-14
C100006,2022-07-31,25.13,5.0,2022-08-14
C100006,2022-08-31,32.28,7.97,2022-09-14
C100006,2022-09-30,37.36,10.77,2022-10-14
C100006,2022-10-31,42.34,12.51,2022-11-14
C100006,2022-11-30,30.86,7.13,2022-12-14
C100006,2022-12-31,40.95,12.2,2023-01-14
C100006,2023-01-31,35.12,9.29,2023-02-14
C100006,2023-02-28,43.61,13.01,2023-03-14
C100006,2023-03-31,41.73,11.96,2023-04-14
C100006,2023-04-30,43.45,13.5,2023-05-14
C100006,2023-05-31,45.59,13.78,2023-06-14
C100006,2023-06-30,40.84,11.87,2023-07-14
C100006,2023-07-31,42.69,12.7,2023-08-14
C100006,2023-08-31,36.55,9.89,2023-09-14
C100006,2023-09-30,55.92,18.2,2023-10-14
C100006,2023-10-31,33.22,8.35,2023-11-14
C100006,2023-11-30,36.77,10.57,2023-12-14
C100006,2023-12-31,47.42,14.88,2024-01-14
C100006,2024-01-31,47.35,14.61,2024-02-14
C100006,2024-02-29,43.55,13.72,2024-03-14
C100006,2024-03-31,44.64,13.86,2024-04-14
C100006,2024-04-30,27.04,6.08,2024-05-14
C100006,2024-05-31,47.42,15.09,2024-06-14
C100006,2024-06-30,37.64,10.25,2024-07-14
C100006,2024-07-31,45.43,13.63,2024-08-14
C100006,2024-08-31,27.28,5.78,2024-09-14
C100006,2024-09-30,39.51,11.73,2024-10-14
C100006,2024-10-31,37.15,10.07,2024-11-14
C100006,2024-11-30,45.14,13.57,2024-12-14
C100006,2024-12-31,42.59,13.24,2025-01-14
C100006,2025-01-31,44.54,13.51,2025-02-14
C100006,2025-02-28,35.11,9.38,2025-03-14
C100006,2025-03-31,41.05,11.86,2025-04-14
C100006,2025-04-30,39.37,11.08,2025-05-14
C100006,2025-05-31,40.68,12.34,2025-06-14
C100006,2025-06-30,42.97,13.17,2025-07-14
C100006,2025-07-31,39.48,10.99,2025-08-14
C100006,2025-08-31,31.2,7.63,2025-09-14
C100006,2025-09-30,40.31,11.36,2025-10-14
C100006,2025-10-31,54.59,18.4,2025-11-14
C100006,2025-11-30,52.49,16.51,2025-12-14
C100006,2025-12-31,25.19,5.0,2026-01-14
C100007,2022-01-31,41.21,12.05,2022-02-14
C100007,2022-02-28,45.65,14.25,2022-03-14
C100007,2022-03-31,39.49,10.97,2022-04-14
C100007,2022-04-30,36.7,9.85,2022-05-14
C100007,2022-05-31,37.23,9.92,2022-06-14
C100007,2022-06-30,39.87,11.52,2022-07-14
C100007,2022-07-31,31.5,7.48,2022-08-14
C100007,2022-08-31,43.24,13.0,2022-09-14
C100007,2022-09-30,37.14,10.43,2022-10-14
C100007,2022-10-31,34.56,8.66,2022-11-14
C100007,2022-11-30,45.84,14.36,2022-12-14
C100007,2022-12-31,30.69,7.63,2023-01-14
C100007,2023-01-31,37.66,10.38,2023-02-14
C100007,2023-02-28,37.73,10.23,2023-03-14
C100007,2023-03-31,51.33,17.01,2023-04-14
C100007,2023-04-30,35.64,9.29,2023-05-14
C100007,2023-05-31,26.93,5.39,2023-06-14
C100007,2023-06-30,34.11,8.88,2023-07-14
C100007,2023-07-31,40.36,11.17,2023-08-14
C100007,2023-08-31,40.37,12.06,2023-09-14
C100007,2023-09-30,50.44,16.02,2023-10-14
C100007,2023-10-31,47.91,14.52,2023-11-14
C100007,2023-11-30,40.87,11.93,2023-12-14
C100007,2023-12-31,35.9,9.38,2024-01-14
C100007,2024-01-31,51.24,16.26,2024-02-14
C100007,2024-02-29,37.82,10.78,2024-03-14
C100007,2024-03-31,36.87,9.73,2024-04-14
C100007,2024-04-30,36.24,9.96,2024-05-14
C100007,2024-05-31,30.23,7.55,2024-06-14
C100007,2024-06-30,34.15,9.16,2024-07-14
C100007,2024-07-31,36.3,9.58,2024-08-14
C100007,2024-08-31,41.54,11.94,2024-09-14
C100007,2024-09-30,36.14,9.63,2024-10-14
C100007,2024-10-31,30.92,7.83,2024-11-14
C100007,2024-11-30,30.93,7.27,2024-12-14
C100007,2024-12-31,42.14,12.32,2025-01-14
C100007,2025-01-31,40.4,12.08,2025-02-14
C100007,2025-02-28,37.12,10.28,2025-03-14
C100007,2025-03-31,36.7,10.22,2025-04-14
C100007,2025-04-30,41.59,11.97,2025-05-14
C100007,2025-05-31,45.21,13.9,2025-06-14
C100007,2025-06-30,33.4,8.42,2025-07-14
C100007,2025-07-31,38.27,10.32,2025-08-14
C100007,2025-08-31,42.01,12.47,2025-09-14
C100007,2025-09-30,34.43,8.7,2025-10-14
C100007,2025-10-31,38.44,10.96,2025-11-14
C100007,2025-11-30,39.2,11.34,2025-12-14
C100007,2025-12-31,32.0,8.26,2026-01-14
C100008,2022-01-31,49.67,,2022-02-14
C100008,2022-02-28,49.72,,2022-03-14
C100008,2022-03-31,47.92,,2022-04-14
C100008,2022-04-30,50.26,,2022-05-14
C100008,2022-05-31,48.64,,2022-06-14
C100008,2022-06-30,49.44,,2022-07-14
C100008,2022-07-31,50.06,,2022-08-14
C100008,2022-08-31,49.01,,2022-09-14
C100008,2022-09-30,50.12,,2022-10-14
C100008,2022-10-31,49.76,,2022-11-14
C100008,2022-11-30,48.63,,2022-12-14
C100008,2022-12-31,48.85,,2023-01-14
C100008,2023-01-31,49.42,,2023-02-14
C100008,2023-02-28,50.11,,2023-03-14
C100008,2023-03-31,50.43,,2023-04-14
C100008,2023-04-30,48.0,,2023-05-14
C100008,2023-05-31,49.36,,2023-06-14
C100008,2023-06-30,50.2,,2023-07-14
C100008,2023-07-31,48.34,,2023-08-14
C100008,2023-08-31,49.0,,2023-09-14
C100008,2023-09-30,49.59,,2023-10-14
C100008,2023-10-31,48.91,,2023-11-14
C100008,2023-11-30,48.03,,2023-12-14
C100008,2023-12-31,48.09,,2024-01-14
C100008,2024-01-31,49.28,,2024-02-14
C100008,2024-02-29,50.44,,2024-03-14
C100008,2024-03-31,47.86,,2024-04-14
C100008,2024-04-30,48.97,,2024-05-14
C100008,2024-05-31,47.79,,2024-06-14
C100008,2024-06-30,49.76,,2024-07-14
C100008,2024-07-31,49.91,,2024-08-14
C100008,2024-08-31,49.59,,2024-09-14
C100008,2024-09-30,49.48,,2024-10-14
C100008,2024-10-31,49.95,,2024-11-14
C100008,2024-11-30,49.64,,2024-12-14
C100008,2024-12-31,49.32,,2025-01-14
C100008,2025-01-31,49.64,,2025-02-14
C100008,2025-02-28,47.85,,2025-03-14
C100008,2025-03-31,48.55,,2025-04-14
C100008,2025-04-30,49.47,,2025-05-14
C100008,2025-05-31,49.88,,2025-06-14
C100008,2025-06-30,48.15,,2025-07-14
C100008,2025-07-31,48.5,,2025-08-14
C100008,2025-08-31,48.84,,2025-09-14
C100008,2025-09-30,50.21,,2025-10-14
C100008,2025-10-31,48.61,,2025-11-14
C100008,2025-11-30,47.94,,2025-12-14
C100008,2025-12-31,50.09,,2026-01-14
C100009,2022-01-31,36.89,10.38,2022-02-14
C100009,2022-02-28,41.59,11.99,2022-03-14
C100009,2022-03-31,36.87,10.69,2022-04-14
C100009,2022-04-30,29.65,6.68,2022-05-14
C100009,2022-05-31,47.08,14.29,2022-06-14
C100009,2022-06-30,36.14,10.15,2022-07-14
C100009,2022-07-31,32.8,8.86,2022-08-14
C100009,2022-08-31,31.61,7.99,2022-09-14
C100009,2022-09-30,42.33,13.03,2022-10-14
C100009,2022-10-31,32.66,8.14,2022-11-14
C100009,2022-11-30,40.44,12.38,2022-12-14
C100009,2022-12-31,36.98,10.71,2023-01-14
C100009,2023-01-31,38.83,10.98,2023-02-14
C100009,2023-02-28,35.26,9.25,2023-03-14
C100009,2023-03-31,35.95,10.32,2023-04-14
C100009,2023-04-30,39.19,11.57,2023-05-14
C100009,2023-05-31,40.28,11.68,2023-06-14
C100009,2023-06-30,33.23,8.83,2023-07-14
C100009,2023-07-31,37.52,10.41,2023-08-14
C100009,2023-08-31,43.09,12.92,2023-09-14
C100009,2023-09-30,29.38,6.9,2023-10-14
C100009,2023-10-31,40.36,11.53,2023-11-14
C100009,2023-11-30,34.08,9.42,2023-12-14
C100009,2023-12-31,34.12,9.4,2024-01-14
C100009,2024-01-31,42.46,13.21,2024-02-14
C100009,2024-02-29,39.19,10.82,2024-03-14
C100009,2024-03-31,32.91,8.69,2024-04-14
C100009,2024-04-30,47.18,15.03,2024-05-14
C100009,2024-05-31,43.27,13.41,2024-06-14
C100009,2024-06-30,27.82,6.03,2024-07-14
C100009,2024-07-31,29.33,7.07,2024-08-14
C100009,2024-08-31,41.34,12.2,2024-09-14
C100009,2024-09-30,36.23,10.37,2024-10-14
C100009,2024-10-31,49.42,15.49,2024-11-14
C100009,2024-11-30,45.71,13.69,2024-12-14
C100009,2024-12-31,43.0,13.19,2025-01-14
C100009,2025-01-31,34.49,9.58,2025-02-14
C100009,2025-02-28,44.18,13.73,2025-03-14
C100009,2025-03-31,32.33,8.53,2025-04-14
C100009,2025-04-30,48.48,14.98,2025-05-14
C100009,2025-05-31,42.21,12.15,2025-06-14
C100009,2025-06-30,33.04,8.73,2025-07-14
C100009,2025-07-31,42.65,12.57,2025-08-14
C100009,2025-08-31,50.95,16.23,2025-09-14
C100009,2025-09-30,38.1,10.54,2025-10-14
C100009,2025-10-31,41.88,12.99,2025-11-14
C100009,2025-11-30,38.92,10.83,2025-12-14
C100009,2025-12-31,41.89,12.59,2026-01-14
C100010,2022-01-31,50.2,,2022-02-14
C100010,2022-02-28,48.76,,2022-03-14
C100010,2022-03-31,50.48,,2022-04-14
C100010,2022-04-30,48.43,,2022-05-14
C100010,2022-05-31,48.31,,2022-06-14
C100010,2022-06-30,47.81,,2022-07-14
C100010,2022-07-31,48.62,,2022-08-14
C100010,2022-08-31,49.03,,2022-09-14
C100010,2022-09-30,50.04,,2022-10-14
C100010,2022-10-31,47.96,,2022-11-14
C100010,2022-11-30,48.44,,2022-12-14
C100010,2022-12-31,49.55,,2023-01-14
C100010,2023-01-31,50.04,,2023-02-14
C100010,2023-02-28,49.81,,2023-03-14
C100010,2023-03-31,50.04,,2023-04-14
C100010,2023-04-30,50.07,,2023-05-14
C100010,2023-05-31,48.26,,2023-06-14
C100010,2023-06-30,48.61,,2023-07-14
C100010,2023-07-31,50.43,,2023-08-14
C100010,2023-08-31,49.93,,2023-09-14
C100010,2023-09-30,50.61,,2023-10-14
C100010,2023-10-31,50.64,,2023-11-14
C100010,2023-11-30,47.78,,2023-12-14
C100010,2023-12-31,49.53,,2024-01-14
C100010,2024-01-31,50.13,,2024-02-14
C100010,2024-02-29,49.69,,2024-03-14
C100010,2024-03-31,47.97,,2024-04-14
C100010,2024-04-30,49.79,,2024-05-14
C100010,2024-05-31,49.17,,2024-06-14
C100010,2024-06-30,49.47,,2024-07-14
C100010,2024-07-31,50.12,,2024-08-14
C100010,2024-08-31,48.27,,2024-09-14
C100010,2024-09-30,48.83,,2024-10-14
C100010,2024-10-31,47.92,,2024-11-14
C100010,2024-11-30,49.46,,2024-12-14
C100010,2024-12-31,48.03,,2025-01-14
C100010,2025-01-31,48.52,,2025-02-14
C100010,2025-02-28,49.99,,2025-03-14
C100010,2025-03-31,48.11,,2025-04-14
C100010,2025-04-30,48.8,,2025-05-14
C100010,2025-05-31,49.99,,2025-06-14
C100010,2025-06-30,50.05,,2025-07-14
C100010,2025-07-31,49.99,,2025-08-14
C100010,2025-08-31,49.54,,2025-09-14
C100010,2025-09-30,49.83,,2025-10-14
C100010,2025-10-31,49.74,,2025-11-14
C100010,2025-11-30,49.39,,2025-12-14
C100010,2025-12-31,48.92,,2026-01-14
C100011,2022-01-31,41.8,13.29,2022-02-14
C100011,2022-02-28,34.36,9.28,2022-03-14
C100011,2022-03-31,32.35,8.69,2022-04-14
C100011,2022-04-30,39.72,11.64,2022-05-14
C100011,2022-05-31,30.25,7.79,2022-06-14
C100011,2022-06-30,38.32,11.18,2022-07-14
C100011,2022-07-31,36.46,10.05,2022-08-14
C100011,2022-08-31,29.03,7.55,2022-09-14
C100011,2022-09-30,33.89,9.56,2022-10-14
C100011,2022-10-31,32.26,8.86,2022-11-14
C100011,2022-11-30,39.32,11.36,2022-12-14
C100011,2022-12-31,46.66,15.46,2023-01-14
C100011,2023-01-31,36.07,10.01,2023-02-14
C100011,2023-02-28,39.21,12.13,2023-03-14
C100011,2023-03-31,37.7,10.58,2023-04-14
C100011,2023-04-30,34.97,10.18,2023-05-14
C100011,2023-05-31,32.91,9.35,2023-06-14
C100011,2023-06-30,30.57,7.58,2023-07-14
C100011,2023-07-31,36.28,10.02,2023-08-14
C100011,2023-08-31,32.52,8.8,2023-09-14
C100011,2023-09-30,30.36,7.72,2023-10-14
C100011,2023-10-31,40.14,12.45,2023-11-14
C100011,2023-11-30,38.07,10.76,2023-12-14
C100011,2023-12-31,36.65,10.26,2024-01-14
