customer_id,action_date,action
C100026,2023-04-21,Reminder Sent
C100026,2023-05-05,Second Reminder
C100026,2024-04-21,Reminder Sent
C100026,2024-05-05,Second Reminder
C100026,2024-05-12,Arrangement Agreed
C100026,2025-02-21,Reminder Sent
C100026,2025-03-07,Second Reminder
C100026,2025-05-21,Reminder Sent
C100026,2025-11-21,Reminder Sent
C100026,2025-12-05,Second Reminder
C100027,2022-06-21,Reminder Sent
C100027,2022-07-05,Second Reminder
C100027,2022-07-12,Arrangement Agreed
C100027,2022-09-21,Reminder Sent
C100027,2022-10-05,Second Reminder
C100027,2023-10-21,Reminder Sent
C100027,2023-11-04,Second Reminder
C100027,2023-11-11,Arrangement Agreed
C100027,2023-12-09,Arrangement Broken
C100027,2024-07-21,Reminder Sent
C100027,2024-08-04,Second Reminder
C100027,2025-01-21,Reminder Sent
C100027,2025-02-04,Second Reminder
C100027,2025-11-21,Reminder Sent
C100027,2025-12-05,Second Reminder
C100027,2025-12-12,Arrangement Agreed
C100027,2026-01-21,Reminder Sent
C100027,2026-02-04,Second Reminder
C100028,2023-01-21,Reminder Sent
C100028,2023-02-04,Second Reminder
C100028,2023-02-11,Arrangement Agreed
C100028,2023-02-25,Arrangement Broken
C100028,2023-12-21,Reminder Sent
C100028,2024-01-04,Second Reminder
C100028,2024-01-11,Arrangement Agreed
C100029,2022-08-21,Reminder Sent
C100029,2022-09-04,Second Reminder
C100029,2023-02-21,Reminder Sent
C100029,2023-05-21,Reminder Sent
C100029,2023-06-04,Second Reminder
C100029,2023-06-11,Arrangement Agreed
C100029,2024-01-21,Reminder Sent
C100029,2024-02-04,Second Reminder
C100029,2024-12-21,Reminder Sent
C100029,2025-01-04,Second Reminder
C100029,2025-06-21,Reminder Sent
C100029,2025-07-05,Second Reminder
C100029,2025-07-12,Arrangement Agreed
C100030,2022-04-21,Reminder Sent
C100030,2022-05-05,Second Reminder
C100030,2022-05-12,Arrangement Agreed
C100030,2023-07-21,Reminder Sent
C100030,2023-08-04,Second Reminder
C100030,2024-02-21,Reminder Sent
C100030,2024-03-06,Second Reminder
C100030,2024-04-21,Reminder Sent
C100030,2025-10-21,Reminder Sent
C100030,2025-11-04,Second Reminder
C100031,2022-07-21,Reminder Sent
C100031,2023-04-21,Reminder Sent
C100031,2023-05-05,Second Reminder
C100031,2023-09-21,Reminder Sent
C100031,2023-10-05,Second Reminder
C100031,2023-10-12,Arrangement Agreed
C100031,2023-11-12,Arrangement Broken
C100031,2024-01-21,Reminder Sent
C100031,2024-02-04,Second Reminder
C100031,2024-10-21,Reminder Sent
C100031,2024-11-04,Second Reminder
C100031,2024-11-11,Arrangement Agreed
C100031,2024-12-21,Reminder Sent
C100031,2025-01-04,Second Reminder
C100031,2025-01-11,Arrangement Agreed
C100031,2025-08-21,Reminder Sent
C100032,2022-03-21,Reminder Sent
C100032,2022-04-04,Second Reminder
C100032,2023-02-21,Reminder Sent
C100032,2023-03-07,Second Reminder
C100032,2023-03-14,Arrangement Agreed
C100032,2023-03-30,Arrangement Broken
C100032,2023-11-21,Reminder Sent
C100032,2023-12-05,Second Reminder
C100032,2024-06-21,Reminder Sent
C100032,2024-07-05,Second Reminder
C100032,2025-06-21,Reminder Sent
C100032,2025-07-05,Second Reminder
C100032,2025-11-21,Reminder Sent
C100033,2022-08-21,Reminder Sent
C100033,2022-09-04,Second Reminder
C100033,2023-01-21,Reminder Sent
C100033,2023-02-04,Second Reminder
C100033,2024-02-21,Reminder Sent
C100033,2024-03-06,Second Reminder
C100033,2024-03-13,Arrangement Agreed
C100034,2022-05-21,Reminder Sent
C100034,2022-06-04,Second Reminder
C100034,2022-10-21,Reminder Sent
C100034,2022-11-04,Second Reminder
C100034,2022-11-11,Arrangement Agreed
C100034,2024-08-21,Reminder Sent
C100034,2024-09-04,Second Reminder
C100034,2025-06-21,Reminder Sent
C100034,2025-11-21,Reminder Sent
C100034,2025-12-05,Second Reminder
C100034,2025-12-12,Arrangement Agreed
C100034,2026-01-21,Reminder Sent
C100034,2026-02-04,Second Reminder
C100035,2022-03-21,Reminder Sent
C100035,2022-12-21,Reminder Sent
C100035,2023-01-04,Second Reminder
C100035,2023-04-21,Reminder Sent
C100035,2023-05-05,Second Reminder
C100035,2023-10-21,Reminder Sent
C100035,2023-11-04,Second Reminder
C100035,2025-01-21,Reminder Sent
C100036,2023-06-21,Reminder Sent
C100036,2023-11-21,Reminder Sent
C100036,2023-12-05,Second Reminder
C100036,2023-12-12,Arrangement Agreed
C100036,2024-07-21,Reminder Sent
C100036,2024-08-04,Second Reminder
C100036,2024-08-11,Arrangement Agreed
C100037,2022-08-21,Reminder Sent
C100037,2022-09-04,Second Reminder
C100037,2022-12-21,Reminder Sent
C100037,2023-01-04,Second Reminder
C100037,2023-08-21,Reminder Sent
C100037,2023-09-04,Second Reminder
C100038,2023-04-21,Reminder Sent
C100038,2023-05-05,Second Reminder
C100039,2024-04-21,Reminder Sent
C100039,2024-05-05,Second Reminder
C100040,2022-05-21,Reminder Sent
C100040,2022-06-04,Second Reminder
C100040,2022-06-11,Arrangement Agreed
C100040,2023-04-21,Reminder Sent
C100040,2023-05-05,Second Reminder
C100040,2023-05-12,Arrangement Agreed
C100040,2023-06-05,Arrangement Broken
C100040,2023-06-21,Reminder Sent
C100040,2023-07-05,Second Reminder
C100040,2023-07-12,Arrangement Agreed
C100040,2024-05-21,Reminder Sent
C100040,2024-06-04,Second Reminder
C100040,2024-08-21,Reminder Sent
C100040,2024-09-04,Second Reminder
C100041,2022-10-21,Reminder Sent
C100041,2022-11-04,Second Reminder
C100041,2022-11-11,Arrangement Agreed
C100041,2023-01-04,Arrangement Broken
C100041,2023-08-21,Reminder Sent
C100041,2024-04-21,Reminder Sent
C100041,2024-05-05,Second Reminder
C100041,2024-09-21,Reminder Sent
C100041,2024-10-05,Second Reminder
C100041,2025-03-21,Reminder Sent
C100041,2025-04-04,Second Reminder
C100041,2025-04-11,Arrangement Agreed
C100041,2025-09-21,Reminder Sent
C100041,2025-10-05,Second Reminder
C100042,2022-04-21,Reminder Sent
C100042,2022-10-21,Reminder Sent
C100042,2022-12-21,Reminder Sent
C100042,2023-08-21,Reminder Sent
C100042,2024-07-21,Reminder Sent
C100042,2024-08-04,Second Reminder
C100042,2024-08-11,Arrangement Agreed
C100043,2022-03-21,Reminder Sent
C100043,2022-04-04,Second Reminder
C100043,2022-04-21,Reminder Sent
C100043,2022-12-21,Reminder Sent
C100043,2023-01-04,Second Reminder
C100043,2023-06-21,Reminder Sent
C100043,2023-07-05,Second Reminder
C100043,2023-08-21,Reminder Sent
C100043,2023-09-04,Second Reminder
C100043,2023-09-11,Arrangement Agreed
C100043,2024-07-21,Reminder Sent
C100043,2024-08-04,Second Reminder
C100043,2024-08-21,Reminder Sent
C100043,2024-09-04,Second Reminder
C100043,2024-09-21,Reminder Sent
C100043,2024-12-21,Reminder Sent
C100043,2025-01-04,Second Reminder
C100043,2025-11-21,Reminder Sent
C100043,2025-12-05,Second Reminder
C100044,2022-03-21,Reminder Sent
C100044,2022-04-04,Second Reminder
C100044,2022-04-11,Arrangement Agreed
C100044,2022-05-21,Reminder Sent
C100044,2022-06-04,Second Reminder
C100044,2022-06-21,Reminder Sent
C100044,2022-07-05,Second Reminder
C100044,2022-09-21,Reminder Sent
C100044,2024-10-21,Reminder Sent
C100044,2024-11-04,Second Reminder
C100044,2025-01-21,Reminder Sent
C100045,2022-04-21,Reminder Sent
C100045,2022-05-05,Second Reminder
C100045,2022-07-21,Reminder Sent
C100045,2022-08-04,Second Reminder
C100045,2022-09-21,Reminder Sent
C100045,2022-10-05,Second Reminder
C100045,2023-07-21,Reminder Sent
C100045,2023-08-04,Second Reminder
C100045,2024-07-21,Reminder Sent
C100045,2024-08-04,Second Reminder
C100046,2022-04-21,Reminder Sent
C100046,2022-05-05,Second Reminder
C100046,2022-10-21,Reminder Sent
C100046,2023-02-21,Reminder Sent
C100046,2023-08-21,Reminder Sent
C100046,2023-09-04,Second Reminder
C100046,2023-09-11,Arrangement Agreed
C100046,2024-04-21,Reminder Sent
C100046,2024-06-21,Reminder Sent
C100046,2024-07-05,Second Reminder
C100047,2022-03-21,Reminder Sent
C100047,2022-04-21,Reminder Sent
C100047,2022-05-05,Second Reminder
C100047,2022-05-12,Arrangement Agreed
C100047,2023-10-21,Reminder Sent
C100047,2024-01-21,Reminder Sent
C100048,2022-05-21,Reminder Sent
C100048,2022-10-21,Reminder Sent
C100048,2022-11-04,Second Reminder
C100048,2022-11-11,Arrangement Agreed
C100048,2023-03-21,Reminder Sent
C100048,2023-04-04,Second Reminder
C100048,2023-07-21,Reminder Sent
C100048,2023-08-04,Second Reminder
C100048,2023-08-11,Arrangement Agreed
C100048,2025-06-21,Reminder Sent
C100048,2025-08-21,Reminder Sent
C100048,2025-09-04,Second Reminder
C100048,2025-09-11,Arrangement Agreed
C100048,2025-10-21,Reminder Sent
C100048,2025-11-04,Second Reminder
C100049,2022-09-21,Reminder Sent
C100049,2024-04-21,Reminder Sent
C100049,2024-05-05,Second Reminder
C100049,2025-03-21,Reminder Sent
C100050,2022-07-21,Reminder Sent
C100050,2022-08-04,Second Reminder
C100050,2022-08-11,Arrangement Agreed
C100050,2022-08-26,Arrangement Broken
C100050,2023-02-21,Reminder Sent
C100050,2023-03-07,Second Reminder
C100050,2023-04-21,Reminder Sent
C100050,2023-05-05,Second Reminder
C100050,2023-05-12,Arrangement Agreed
C100050,2025-08-21,Reminder Sent
C100051,2022-03-21,Reminder Sent
C100051,2022-04-04,Second Reminder
C100051,2022-04-11,Arrangement Agreed
C100051,2023-06-21,Reminder Sent
C100051,2023-07-21,Reminder Sent
C100051,2023-08-04,Second Reminder
C100051,2024-10-21,Reminder Sent
C100051,2025-01-21,Reminder Sent
C100051,2025-04-21,Reminder Sent
C100051,2025-05-05,Second Reminder
C100051,2025-05-12,Arrangement Agreed
C100051,2025-06-21,Reminder Sent
C100051,2025-07-05,Second Reminder
C100051,2025-07-12,Arrangement Agreed
C100051,2025-07-21,Reminder Sent
C100051,2025-08-04,Second Reminder
C100051,2025-08-11,Arrangement Agreed
C100052,2022-06-21,Reminder Sent
C100052,2022-07-05,Second Reminder
C100052,2022-08-21,Reminder Sent
C100052,2022-09-04,Second Reminder
C100052,2023-04-21,Reminder Sent
C100052,2023-05-05,Second Reminder
C100052,2023-11-21,Reminder Sent
C100052,2023-12-05,Second Reminder
C100052,2024-12-21,Reminder Sent
C100052,2025-01-04,Second Reminder
C100052,2025-07-21,Reminder Sent
C100052,2025-08-04,Second Reminder
C100053,2022-09-21,Reminder Sent
C100053,2023-07-21,Reminder Sent
C100053,2024-03-21,Reminder Sent
C100053,2024-05-21,Reminder Sent
C100053,2024-06-04,Second Reminder
C100053,2024-06-21,Reminder Sent
C100053,2024-07-05,Second Reminder
C100053,2024-07-12,Arrangement Agreed
C100054,2024-04-21,Reminder Sent
C100054,2024-05-05,Second Reminder
C100054,2024-10-21,Reminder Sent
C100054,2025-05-21,Reminder Sent
C100054,2025-06-04,Second Reminder
C100054,2025-06-11,Arrangement Agreed
C100055,2022-08-21,Reminder Sent
C100055,2022-09-04,Second Reminder
C100055,2022-09-11,Arrangement Agreed
C100055,2023-01-21,Reminder Sent
C100055,2023-02-04,Second Reminder
C100055,2023-09-21,Reminder Sent
C100055,2025-03-21,Reminder Sent
C100055,2025-04-04,Second Reminder
C100055,2025-04-11,Arrangement Agreed
C100056,2023-03-21,Reminder Sent
C100056,2023-04-04,Second Reminder
C100056,2023-04-11,Arrangement Agreed
C100056,2023-05-26,Arrangement Broken
C100057,2022-02-21,Reminder Sent
C100057,2022-03-07,Second Reminder
C100057,2022-05-21,Reminder Sent
C100057,2022-06-04,Second Reminder
C100057,2023-05-21,Reminder Sent
C100057,2023-06-04,Second Reminder
C100057,2024-10-21,Reminder Sent
C100057,2024-11-04,Second Reminder
C100058,2023-08-21,Reminder Sent
C100058,2023-09-04,Second Reminder
C100058,2023-09-11,Arrangement Agreed
C100058,2023-10-17,Arrangement Broken
C100058,2024-03-21,Reminder Sent
C100058,2024-04-04,Second Reminder
C100058,2024-07-21,Reminder Sent
C100058,2024-08-04,Second Reminder
C100058,2025-02-21,Reminder Sent
C100058,2025-03-07,Second Reminder
C100058,2025-11-21,Reminder Sent
C100058,2025-12-05,Second Reminder
C100059,2025-04-21,Reminder Sent
C100059,2025-10-21,Reminder Sent
C100059,2025-11-04,Second Reminder
C100059,2025-11-11,Arrangement Agreed
C100059,2025-11-21,Reminder Sent
C100059,2025-12-05,Second Reminder
C100059,2025-12-12,Arrangement Agreed
C100060,2022-10-21,Reminder Sent
C100060,2022-11-04,Second Reminder
C100060,2023-12-21,Reminder Sent
C100060,2024-01-04,Second Reminder
C100060,2025-11-21,Reminder Sent
C100060,2025-12-05,Second Reminder
C100060,2025-12-12,Arrangement Agreed
C100060,2026-02-09,Arrangement Broken
C100061,2022-02-21,Reminder Sent
C100061,2022-03-07,Second Reminder
C100061,2023-09-21,Reminder Sent
C100061,2023-10-05,Second Reminder
C100061,2023-12-21,Reminder Sent
C100061,2024-01-04,Second Reminder
C100061,2025-12-21,Reminder Sent
C100061,2026-01-04,Second Reminder
C100062,2023-06-21,Reminder Sent
C100062,2023-07-05,Second Reminder
C100062,2023-12-21,Reminder Sent
C100062,2024-01-04,Second Reminder
C100062,2024-01-11,Arrangement Agreed
C100062,2024-06-21,Reminder Sent
C100063,2023-09-21,Reminder Sent
C100063,2023-10-05,Second Reminder
C100063,2023-10-12,Arrangement Agreed
C100063,2024-05-21,Reminder Sent
C100063,2024-06-04,Second Reminder
C100063,2024-10-21,Reminder Sent
C100063,2024-11-04,Second Reminder
C100063,2024-11-11,Arrangement Agreed
C100063,2025-01-09,Arrangement Broken
C100063,2025-02-21,Reminder Sent
C100064,2023-04-21,Reminder Sent
C100064,2024-12-21,Reminder Sent
C100064,2025-01-04,Second Reminder
C100064,2025-01-11,Arrangement Agreed
C100065,2022-07-21,Reminder Sent
C100065,2022-08-04,Second Reminder
C100065,2022-08-11,Arrangement Agreed
C100065,2023-04-21,Reminder Sent
C100065,2024-03-21,Reminder Sent
C100065,2024-04-04,Second Reminder
C100065,2025-05-21,Reminder Sent
C100065,2025-06-04,Second Reminder
C100065,2025-06-11,Arrangement Agreed
C100065,2025-06-21,Reminder Sent
C100066,2022-07-21,Reminder Sent
C100066,2022-08-04,Second Reminder
C100066,2023-05-21,Reminder Sent
C100066,2023-06-04,Second Reminder
C100066,2023-06-11,Arrangement Agreed
C100066,2023-06-21,Reminder Sent
C100066,2023-07-05,Second Reminder
C100066,2023-10-21,Reminder Sent
C100066,2025-02-21,Reminder Sent
C100066,2025-03-07,Second Reminder
C100066,2025-03-14,Arrangement Agreed
C100066,2025-10-21,Reminder Sent
C100066,2025-11-04,Second Reminder
C100066,2025-11-11,Arrangement Agreed
C100067,2022-04-21,Reminder Sent
C100067,2022-05-21,Reminder Sent
C100067,2022-06-21,Reminder Sent
C100067,2022-07-05,Second Reminder
C100067,2023-04-21,Reminder Sent
C100067,2024-02-21,Reminder Sent
C100067,2024-03-06,Second Reminder
C100067,2024-04-21,Reminder Sent
C100067,2024-07-21,Reminder Sent
C100067,2024-08-04,Second Reminder
C100067,2024-08-21,Reminder Sent
C100067,2024-09-04,Second Reminder
C100067,2024-09-11,Arrangement Agreed
C100067,2024-10-09,Arrangement Broken
C100067,2024-11-21,Reminder Sent
C100067,2024-12-21,Reminder Sent
C100067,2025-01-04,Second Reminder
C100068,2022-04-21,Reminder Sent
C100068,2022-05-05,Second Reminder
C100068,2022-05-21,Reminder Sent
C100068,2022-06-04,Second Reminder
C100068,2022-06-11,Arrangement Agreed
C100068,2023-03-21,Reminder Sent
C100068,2023-06-21,Reminder Sent
C100068,2024-01-21,Reminder Sent
C100068,2024-05-21,Reminder Sent
C100068,2024-06-04,Second Reminder
C100068,2024-06-21,Reminder Sent
C100068,2024-07-05,Second Reminder
C100068,2025-11-21,Reminder Sent
C100068,2025-12-05,Second Reminder
C100068,2026-01-21,Reminder Sent
C100068,2026-02-04,Second Reminder
C100068,2026-02-11,Arrangement Agreed
